WKT,nombre,descripción
"POINT (-77.0185172 -12.1748214)",Botica San Miguel,SU03 - Chorrillos - x - x - Frente a Tottus de Prol. Huaylas
"POINT (-77.004782 -12.1783347)",Botica Angelita,SU03 - Chorrillos - x - x - Cerca a Matellini con El Sol
"POINT (-76.9987835 -12.1763935)",Botica FarmaSalud,SU03 - Chorrillos - x - x - Cruce del Sol con Faisanes
"POINT (-77.0203322 -12.1949807)",Botica SG Farma,SU03 - Chorrillos - x - x - Frente Mercado San Jose/En el parque San Genaro
"POINT (-76.9798776 -12.1504995)",Botica Delly Farma,SU02 - SJM - x - x - Antes de Metro de Sur a Norte
"POINT (-76.9689656 -12.1400302)",Botica Iris,SU02 - SJM - x - x - Pamplona
"POINT (-76.9694797 -12.1409592)",Botica David Farma,SU02 - SJM - x - x - Pamplona baja/Cerca a Iris Farma de abajo (David) hacia arriba (Iris)
"POINT (-76.9483139 -12.1366251)",Botica Carlev,SU02 - SJM - x - x - Pamplona alta - El policlinico está metido y no se puede entrar
"POINT (-76.9474372 -12.1438263)",Botica Jessica,SU02 - SJM - x - x - Pamplona alta
"POINT (-76.9667715 -12.1754297)",Botica Mery Farma,SU02 - SJM/VES/VMT - x - x - Avenida Canevaro
"POINT (-76.9605872 -12.1841247)",Botica La Salud,SU02 - SJM/VMT/VES - x - x - Av. Miguel Iglesias con Calle 5
"POINT (-76.9413854 -12.1818974)",Botica FarmaLuz,SU02 - VMT - x - x - Antes de 26 Noviembre
"POINT (-76.933054 -12.1726044)",Botica Bienestar Sur,SU02 - VMT - x - x - Frente a un paradero de micros
"POINT (-76.9192221 -12.1678785)",Botica Jose,SU02 - VMT - x - x - Cerca a la entrada cementerio Nueva Esperanza
"POINT (-76.8504533 -12.2964543)",Botica Red Farma - Pharma Max,SU05 - Lurin/Nuevo Lurin - x - x - 
"POINT (-76.871273 -12.1492934)",Botica TorresFarma,SU05 - Manchay/Pachacamac - x - x - Entrada por cerro cementerio Nueva Esperanza o La Molina
"POINT (-76.8715434 -12.112797)",Botica Ahorro Farma,SU05 - Manchay Pachacamac - x - x - Cerca a La Molina
"POINT (-76.8726991 -12.110353)",Pharma Central,SU05 - Manchay/Pachacamac - x - x - Edificio celeste con portón azul
"POINT (-76.8695185 -12.0210774)",Botica MyM,ES05 - Ate/Santa Clara - x - x - Pista Nueva/Pasando el menu polleria luego izquierda
"POINT (-76.8184586 -12.0152594)",Botica MeDex,ES05 - Huaycan - x - x - Mercado Santa Rosa Huaycan
"POINT (-76.8212654 -12.0293642)",Botica Orli Farma,ES05 - Huaycan - x - x - Zona J/Cerro Arriba
"POINT (-76.923635 -12.0379296)",Botica Sar Farma,ES02 - Ate/Vitarte - x - x - Como yendo a dejar envases Proquim
"POINT (-76.9665657 -12.0384799)",Botica NovaFarma,ES02 - Santa Anita - x - x - Avenida Los Chancas
"POINT (-76.8991519 -11.9881024)",Botica MultiSalud,ES05 - Cajamarquilla - x - x - Por Las Torres desvia a Cajamarquilla
"POINT (-76.9211659 -12.0013122)",Botica San Martin,ES04 - Huachipa/Jicamarca - x - x - Subiendo Pasamayo Jicamarca/ Avenida Las Torres
"POINT (-76.9301981 -12.0007774)",Botica Myn Farma,ES04 - Huachipa/Jicamarca - x - x - Subiendo a Pasamayo Jicamarca
"POINT (-77.007057 -12.0095371)",ervicios Dentales del Peru,IN02 - SJL/Bajo - x - Drogueria Cadena Farm - Club Metropolitano Wiracocha/Flores de Primavera
"POINT (-77.0017205 -11.9645088)",Botica Mi Esperanza,ES03 - SJL/Medio - x - x - Arriba del mercado Valle Sagrado
"POINT (-77.0092366 -11.9650099)",Botica Orion,ES03 - SJL/Medio - x - x - 
"POINT (-77.0052309 -11.9513451)",Botica FarmaCentro,ES03 - SJL/Arriba - x - x - 
"POINT (-76.9777904 -11.9464642)",Botica MultiMedic - Corp. Jum Piom,ES03 - SJL/Arriba - x - x - No entrar por Central/ todo izquierda o de frente después de pasar Fernando Wiesse
"POINT (-76.9620431 -11.8996346)",Botica Neo Pharma,ES03 - SJL/Arriba - x - x - Cerca a Pasamayo
"POINT (-77.0090273 -11.9131094)",Botica Vitali,ES03 - Comas - x - x - Collique cerca a Pasamayo
"POINT (-77.0175269 -12.2056717)",Botica Grace,SU03 - Chorrillos - x - x - Urb Los Cedros de Villa
"POINT (-76.9780034 -12.1667057)",Trebol Farma,DSU01 - SJM - x - x - Se puede dejar por Pedro Miotta
"POINT (-76.969132 -12.1646362)",Farmacia San Martin de Porras,DSU01 - SJM - x - x - Frente a Dominos Pizza
"POINT (-76.9458967 -12.1757953)",Botica Narek,SU02 - SJM/VMT - x - x - En la misma Pachacutec estacionar
"POINT (-76.9350255 -12.2159553)",Botica MyaFarma,SU03 - VES - x - x - Cruce Revolución con Bolivar
"POINT (-76.9063017 -12.2103097)",Botica MyaFarma,ES05 - VMT/Lurin - x - x - Avenida Lima/Cerca a Lurin
"POINT (-76.9097031 -12.2361134)",Botica Valent's,SU05 - VES/Lurin - x - x - Posta Medica Villa Alejandro
"POINT (-77.0040833 -12.143819)",Botica Salud Farma,SU03 - Surco - x - x - Plaza de Armas de Surco
"POINT (-77.0163174 -12.1146749)",Farmacia MediSur,SU03 - Surquillo - x - x - 
